PLAYER;WIN;SP;2PA;2P%;3PA;3P%;FTA;FT%;ORB;DRB;AST;STL;BLK;TOV;PF;PTS;+/-;;;;;;
TATUM;1;2063;9;0,556;10;0,400;3;1,000;0;10;4;2;1;4;2;25;14;;;;;;
TATUM;1;1734;10;0,500;5;0,400;8;1,000;3;4;3;1;0;0;2;24;14;;;;;;
TATUM;1;1950;9;0,444;6;0,167;8;0,750;0;6;5;0;0;3;0;17;14;;;;;;
TATUM;0;2246;10;0,500;9;0,444;0;0,000;0;5;6;0;1;2;1;22;-11;;;;;;
TATUM ;0;1908;6;0,667;7;0,143;9;0,778;1;3;7;2;1;2;3;18;-30;;;;;;
DAVIS;0;2049;15;0,333;2;0,500;4;1,000;1;7;4;0;2;2;3;17;-17;;;;;;
DAVIS;1;2355;15;0,600;2;0,500;10;0,900;3;9;2;3;3;2;2;30;7;;;;;;
DAVIS;0;2501;20;0,500;2;0,500;8;0,875;6;10;2;2;3;0;5;30;-10;;;;;;
DAVIS;1;2292;17;0,706;1;0,000;3;0,667;2;17;5;1;3;1;3;26;-2;;;;;;
DAVIS;1;2854;18;0,556;0;0,000;9;0,778;4;6;3;1;4;0;3;27;11;;;;;;
DAVIS;0;1931;15;0,667;0;0,000;8;1,000;6;7;3;0;7;4;5;28;-24;;;;;;
DAVIS;0;1490;7;0,571;0;0,000;1;1,000;0;6;4;0;1;1;2;9;-9;;;;;;
DAVIS;1;2162;14;0,357;0;0,000;8;1,000;4;7;4;0;1;1;3;18;-5;;;;;;
DAVIS;1;2460;19;0,526;1;0,000;12;0,833;2;11;6;0;3;1;0;30;17;;;;;;
DAVIS;1;1610;11;0,636;0;0,000;6;0,833;4;7;5;0;6;2;1;19;21;;;;;;
DAVIS;0;2084;8;0,375;1;0,000;3;1,000;0;9;0;0;4;5;4;9;-13;;;;;;
DAVIS;1;2086;18;0,444;1;0,000;1;0,000;4;10;2;3;5;6;5;16;1;;;;;;
DAVIS;1;1972;15;0,733;0;0,000;7;0,714;4;6;3;2;1;4;6;27;-8;;;;;;
DAVIS;1;1751;14;0,786;0;0,000;5;0,800;5;11;4;2;0;2;1;26;34;;;;;;
DAVIS;0;2181;10;0,400;0;0,000;2;1,000;2;11;4;1;1;3;3;10;0;;;;;;
DAVIS;1;2268;20;0,650;0;0,000;7;0,857;5;8;3;2;3;5;3;32;3;;;;;;
DAVIS;0;1936;14;0,500;0;0,000;5;0,600;3;8;2;1;1;2;4;17;-13;;;;;;
DAVIS;1;1747;15;0,600;0;0,000;13;0,769;4;12;4;1;3;0;1;28;29;;;;;;
